Start	Stop
11:00:54	11:01:17
11:01:27	11:02:07
11:01:30	11:02:04
11:02:14	11:03:02
11:03:33	11:04:07
11:04:50	11:05:01
11:06:00	11:06:27
11:06:37	11:06:52
11:06:43	11:07:23
11:08:13	11:08:46
11:09:21	11:10:20
11:10:43	11:12:07
11:11:37	11:12:29
11:12:12	11:12:45
11:13:00	11:13:43
11:13:44	11:14:27
11:14:20	11:15:00
11:14:50	11:16:18
11:15:04	11:15:36
11:16:25	11:18:02
11:15:45	11:16:07
11:19:04	11:19:50
11:19:38	11:20:30
11:19:58	11:20:25
11:20:28	11:21:01
11:20:45	11:20:57
11:21:04	11:21:38
11:23:47	11:24:06
11:25:11	11:25:23
11:25:40	11:26:50
11:25:41	11:26:28
11:26:56	11:27:16
11:26:39	11:27:07
11:27:18	11:28:05
11:27:20	11:28:21
11:28:15	11:28:41
11:28:30	11:29:01
11:29:39	11:30:07
11:30:19	11:30:43
