Start,Stop
11:28:23,11:28:37
11:28:44,11:29:01
11:29:12,11:29:35
11:29:51,11:30:34
11:30:53,11:31:31
11:32:49,11:32:59
11:33:23,11:33:30
11:33:40,11:33:59
11:36:05,11:37:05
11:37:59,11:38:15
11:38:25,11:38:39
11:40:27,11:40:43
11:42:18,11:42:51
11:42:56,11:43:19
11:43:33,11:43:56
11:44:14,11:45:06
11:45:20,11:45:34
11:47:17,11:47:41
11:47:54,11:48:25
11:49:31,11:49:52
11:50:21,11:50:44
11:51:46,11:52:23
11:52:36,11:52:57
11:53:07,11:53:44
11:54:00,11:54:36
11:54:46,11:55:19
11:55:25,11:55:36
11:55:56,11:56:17
11:56:34,11:57:05
11:57:35,11:57:53
11:58:07,11:58:30
11:58:53,11:59:16
