Start,Stop
11:37:04,11:37:21
11:38:14,11:38:39
11:39:44,11:39:53
11:40:29,11:41:07
11:41:17,11:41:42
11:42:06,11:42:54
11:43:25,11:43:37
11:44:10,11:44:17
11:46:35,11:46:50
11:47:10,11:47:31
11:47:54,11:47:59
11:48:05,11:48:17
11:48:28,11:48:49
11:48:54,11:50:05
11:50:12,11:50:46
11:51:15,11:51:48
11:51:55,11:52:14
11:52:26,11:52:51
11:53:12,11:53:35
11:53:40,11:53:57
11:54:22,11:54:36
11:55:24,11:55:38
11:57:15,11:57:30
11:57:38,11:58:27
11:58:35,11:58:50
11:59:12,11:59:30
11:59:51,12:00:20
12:00:53,12:01:48
12:01:57,12:02:19
12:02:34,12:02:49
12:03:10,12:03:20
12:03:32,12:03:40
12:03:55,12:04:15
12:04:42,12:04:49
12:05:02,12:05:26
12:05:36,12:06:10
