Start,Stop
11:41:45,11:42:00
11:42:03,11:42:06
11:42:26,11:42:35
11:42:51,11:43:02
11:43:08,11:43:30
11:43:40,11:44:27
11:47:08,11:47:45
11:47:53,11:48:07
11:48:12,11:48:40
11:49:01,11:49:29
11:49:33,11:49:44
11:50:02,11:50:15
11:50:46,11:50:57
11:51:11,11:51:19
11:51:50,11:52:32
11:52:38,11:53:26
11:53:41,11:53:52
11:55:14,11:56:02
11:56:07,11:56:49
11:56:54,11:57:07
11:57:46,11:58:25
11:58:30,11:58:45
11:58:51,11:59:00
11:59:27,11:59:48
11:59:55,12:00:16
12:00:21,12:00:29
12:00:48,12:00:54
12:01:15,12:01:27
12:01:46,12:02:05
12:02:13,12:02:21
12:03:01,12:04:27
12:04:32,12:05:11
12:05:20,12:05:31
12:05:42,12:05:58
12:06:07,12:06:26
12:07:16,12:07:43
12:08:13,12:08:30
12:08:37,12:09:08
12:09:16,12:09:23
12:09:36,12:10:58
12:11:00,12:11:38
12:11:42,12:11:48
12:12:08,12:12:24
